author_id,created_at,text,source,referenced_tweets,lang,in_reply_to_user_id,id,entities.mentions,entities.annotations,entities.hashtags,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,replied_tweet.author_id,replied_tweet.created_at,replied_tweet.public_metrics.retweet_count,replied_tweet.public_metrics.reply_count,replied_tweet.public_metrics.like_count,replied_tweet.public_metrics.quote_count,replied_tweet.entities.urls,replied_tweet.text,replied_tweet.source,replied_tweet.lang,replied_tweet.id,replied_tweet.author.username,replied_tweet.author.id,replied_tweet.author.profile_image_url,replied_tweet.author.name,replied_tweet.author.created_at,replied_tweet.author.public_metrics.followers_count,replied_tweet.author.public_metrics.following_count,replied_tweet.author.public_metrics.tweet_count,replied_tweet.author.public_metrics.listed_count,replied_tweet.author.location,replied_tweet.author.description,replied_tweet.author.url,author.username,author.id,author.profile_image_url,author.name,author.created_at,author.public_metrics.followers_count,author.public_metrics.following_count,author.public_metrics.tweet_count,author.public_metrics.listed_count,author.location,author.description,author.url,replied_tweet.entities.mentions,replied_tweet.in_reply_to_user_id,entities.urls,replied_tweet.entities.annotations,replied_tweet.referenced_tweets,entities.cashtags,replied_tweet.entities.hashtags
1078053002450067456,2022-02-24T21:52:51.000Z,@realamberheard @ashleyirenebean @mauifilmfest #nfts I was getting my d*ck sucked in the parking lot then the b*tch drugged me and stole my laptop which had my essay about trust wallet logo school design gfx metamask bot cashapp banned playstation help it also ended up getting hacked and my account got disabled,Twitter for iPhone,"[{'type': 'replied_to', 'id': '1009323989263503360'}]",en,807003567605227520,1496966378812698644,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 32, 'username': 'ashleyirenebean', 'id': '303024441'}, {'start': 33, 'end': 46, 'username': 'mauifilmfest', 'id': '32979807'}]","[{'start': 236, 'end': 246, 'probability': 0.7026, 'type': 'Product', 'normalized_text': 'playstation'}]","[{'start': 47, 'end': 52, 'tag': 'nfts'}]",0,8,3,2,807003567605227520,2018-06-16T22:27:22.000Z,45,17,354,3,"[{'start': 48, 'end': 71, 'url': 'https://t.co/NVs2EXfdZh', 'expanded_url': 'https://www.instagram.com/p/BkGi8nlAhY4/?utm_source=ig_twitter_share&igshid=1n6534knb3fva', 'display_url': 'instagram.com/p/BkGi8nlAhY4/…'}]",Will be hard to leave this place.... thank you… https://t.co/NVs2EXfdZh,Instagram,en,1008113832240271361,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190464,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,BakerTheMaker03,1078053002450067456,https://pbs.twimg.com/profile_images/1504558098609946629/_rrfegIK_normal.jpg,Ian | Sam 💍,2018-12-26T22:20:39.000Z,1259,3386,16142,11,18 he/him,"Multi stan account, Lil Nas X, Taylor Swift, Marvel, etc.. Self promoters dni @JohnCena followed 2/24/22. @natsmultiverse ❤️💍 Private account @BakerTheAlt03",,,,,,,,
1162470571369783298,2022-02-14T02:01:07.000Z,@BakerTheMaker03 @realamberheard @ashleyirenebean @mauifilmfest boost the ratio,Twitter for iPhone,"[{'type': 'replied_to', 'id': '1493041400413184005'}]",en,1078053002450067456,1493042590106718211,"[{'start': 0, 'end': 16, 'username': 'BakerTheMaker03', 'id': '1078053002450067456'}, {'start': 17, 'end': 32, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 33, 'end': 49, 'username': 'ashleyirenebean', 'id': '303024441'}, {'start': 50, 'end': 63, 'username': 'mauifilmfest', 'id': '32979807'}]",,,0,0,1,0,807003567605227520,2018-06-16T22:27:22.000Z,45,17,354,3,"[{'start': 48, 'end': 71, 'url': 'https://t.co/NVs2EXfdZh', 'expanded_url': 'https://www.instagram.com/p/BkGi8nlAhY4/?utm_source=ig_twitter_share&igshid=1n6534knb3fva', 'display_url': 'instagram.com/p/BkGi8nlAhY4/…'}]",Will be hard to leave this place.... thank you… https://t.co/NVs2EXfdZh,Instagram,en,1008113832240271361,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190464,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,Rehan2K,1162470571369783298,https://pbs.twimg.com/profile_images/1482639207206109185/FftTNKe3_normal.jpg,JSQ Rehan,2019-08-16T21:06:08.000Z,57,229,2392,2,Earth,Academy Player for @JSQEsports,https://t.co/pLbmcwGzXU,,,,,,,
1078053002450067456,2022-02-14T01:56:23.000Z,@realamberheard @ashleyirenebean @mauifilmfest Thank you ratio!,Twitter for iPhone,"[{'type': 'replied_to', 'id': '1009323989263503360'}]",en,807003567605227520,1493041400413184005,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 32, 'username': 'ashleyirenebean', 'id': '303024441'}, {'start': 33, 'end': 46, 'username': 'mauifilmfest', 'id': '32979807'}]",,,2,1,11,1,807003567605227520,2018-06-16T22:27:22.000Z,45,17,354,3,"[{'start': 48, 'end': 71, 'url': 'https://t.co/NVs2EXfdZh', 'expanded_url': 'https://www.instagram.com/p/BkGi8nlAhY4/?utm_source=ig_twitter_share&igshid=1n6534knb3fva', 'display_url': 'instagram.com/p/BkGi8nlAhY4/…'}]",Will be hard to leave this place.... thank you… https://t.co/NVs2EXfdZh,Instagram,en,1008113832240271361,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190464,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,BakerTheMaker03,1078053002450067456,https://pbs.twimg.com/profile_images/1504558098609946629/_rrfegIK_normal.jpg,Ian | Sam 💍,2018-12-26T22:20:39.000Z,1259,3386,16142,11,18 he/him,"Multi stan account, Lil Nas X, Taylor Swift, Marvel, etc.. Self promoters dni @JohnCena followed 2/24/22. @natsmultiverse ❤️💍 Private account @BakerTheAlt03",,,,,,,,
1483153757714141186,2022-01-27T00:54:52.000Z,@realamberheard You are the abuser... and he is a survivor. I think you twist the narrative quite often for your benefits.,Twitter Web App,"[{'type': 'replied_to', 'id': '1047231322412875777'}]",en,807003567605227520,1486502936511406084,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}]",,,0,0,0,0,807003567605227520,2018-10-02T21:06:18.000Z,58,36,240,6,"[{'start': 114, 'end': 137, 'url': 'https://t.co/QN1LD8O2ah', 'expanded_url': 'https://www.instagram.com/p/BocfaRhg_d4/?utm_source=ig_twitter_share&igshid=d8d8fax59a3z', 'display_url': 'instagram.com/p/BocfaRhg_d4/…'}]",“It is time to end the culture that protects the careers of powerful men who abuse women and other survivors....” https://t.co/QN1LD8O2ah,Instagram,en,1047231322412875777,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190463,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,nic81907190,1483153757714141186,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,nic,2022-01-17T19:06:37.000Z,0,2,124,0,,,,,,,,,,
1164240046855086081,2022-02-14T02:17:59.000Z,@realamberheard @British_Airways Easy af ratio,Twitter for iPhone,"[{'type': 'replied_to', 'id': '1052718494767185921'}]",en,807003567605227520,1493046836533207041,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 32, 'username': 'British_Airways', 'id': '18332190'}]",,,0,0,4,1,807003567605227520,2018-10-17T20:17:59.000Z,7,5,55,1,"[{'start': 116, 'end': 139, 'url': 'https://t.co/ap7jrOLohI', 'expanded_url': 'https://twitter.com/realamberheard/status/1052654982732730368/photo/1', 'display_url': 'pic.twitter.com/ap7jrOLohI'}]","@British_Airways needs to stop congratulating themselves on returning my bag and actually try returning it, please! https://t.co/ap7jrOLohI",Twitter for iPhone,en,1052654982732730368,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190463,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,ZekeIsBased,1164240046855086081,https://pbs.twimg.com/profile_images/1506834875717865473/s-Mxkj-t_normal.jpg,Simply_Zeke,2019-08-21T18:17:19.000Z,83,853,1404,1,"Sus, France",I like to live life to the fullest & game a lot.  |Certified #EldenLord 😊 |I do YouTube and twitch. Halo and Cod for life 😤 #brickbybrick,https://t.co/bo0flg60ZC,"[{'start': 0, 'end': 16, 'username': 'British_Airways', 'id': '18332190'}]",18332190,,,,,
1078053002450067456,2022-02-14T02:17:19.000Z,@realamberheard @British_Airways Easiest ratio of my life,Twitter for iPhone,"[{'type': 'replied_to', 'id': '1052718494767185921'}]",en,807003567605227520,1493046666542206977,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 32, 'username': 'British_Airways', 'id': '18332190'}]",,,0,0,6,1,807003567605227520,2018-10-17T20:17:59.000Z,7,5,55,1,"[{'start': 116, 'end': 139, 'url': 'https://t.co/ap7jrOLohI', 'expanded_url': 'https://twitter.com/realamberheard/status/1052654982732730368/photo/1', 'display_url': 'pic.twitter.com/ap7jrOLohI'}]","@British_Airways needs to stop congratulating themselves on returning my bag and actually try returning it, please! https://t.co/ap7jrOLohI",Twitter for iPhone,en,1052654982732730368,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190463,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,BakerTheMaker03,1078053002450067456,https://pbs.twimg.com/profile_images/1504558098609946629/_rrfegIK_normal.jpg,Ian | Sam 💍,2018-12-26T22:20:39.000Z,1259,3386,16142,11,18 he/him,"Multi stan account, Lil Nas X, Taylor Swift, Marvel, etc.. Self promoters dni @JohnCena followed 2/24/22. @natsmultiverse ❤️💍 Private account @BakerTheAlt03",,"[{'start': 0, 'end': 16, 'username': 'British_Airways', 'id': '18332190'}]",18332190,,,,,
1374117436610514948,2022-02-20T14:14:45.000Z,@teamdepp_ @realamberheard @ZoeKravitz How haven't you crawled into a big deep hole and stayed there forever? You criminal abuser!! POS,Twitter Web App,"[{'type': 'replied_to', 'id': '1062750551849529350'}]",en,1050721822092812289,1495401542672953347,"[{'start': 0, 'end': 10, 'username': 'teamdepp_', 'id': '1050721822092812289'}, {'start': 11, 'end': 26, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 27, 'end': 38, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,0,0,0,0,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,JaneSpa79755410,1374117436610514948,https://pbs.twimg.com/profile_images/1374118178134110210/7H9KH7Ch_normal.jpg,JaneSparrow,2021-03-22T21:55:11.000Z,163,411,2686,0,,JusticeForJohnnyDepp,,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,,,,
1392472714607308809,2022-02-20T09:31:45.000Z,"@realamberheard To think you're playing a psychiatrist in the next film, when you're mentally unstable yourself; is quite laughable Amanda.

Honestly. Queen of meltdowns. https://t.co/FhRe8c6geR",Twitter for Android,"[{'type': 'replied_to', 'id': '1060795070000128000'}]",en,807003567605227520,1495330321558085639,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}]","[{'start': 132, 'end': 137, 'probability': 0.9932, 'type': 'Person', 'normalized_text': 'Amanda'}]",,0,0,2,1,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,E_J8one,1392472714607308809,https://pbs.twimg.com/profile_images/1487154887154622468/ip5fhRpS_normal.jpg,𝙴𝙹,2021-05-12T13:32:32.000Z,114,207,3791,0,🇬🇧,"𝚆𝚒𝚏𝚎 & 𝙼𝚘𝚖 𝙱𝚘𝚛𝚗 𝚒𝚗 1981.
Not a Brummie.
Misfit of society.

★𝐽𝑢𝑠𝑡𝑖𝑐𝑒4𝐽𝑜ℎ𝑛𝑛𝑦𝐷𝑒𝑝𝑝★",,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,"[{'start': 171, 'end': 194, 'url': 'https://t.co/FhRe8c6geR', 'expanded_url': 'https://twitter.com/E_J8one/status/1495330321558085639/photo/1', 'display_url': 'pic.twitter.com/FhRe8c6geR'}]",,,,
1097412109397307392,2022-01-22T20:48:16.000Z,"@realamberheard @ZoeKravitz I know that Zoe has a family of hero's, starting with her Mom and extending all the way to Lenny Kravitz. It takes a hero to pull off an extended family of heros.",Twitter Web App,"[{'type': 'replied_to', 'id': '1060795070000128000'}]",en,807003567605227520,1484991324872917001,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 27, 'username': 'ZoeKravitz', 'id': '473605749'}]","[{'start': 40, 'end': 42, 'probability': 0.9973, 'type': 'Person', 'normalized_text': 'Zoe'}, {'start': 119, 'end': 131, 'probability': 0.9867, 'type': 'Person', 'normalized_text': 'Lenny Kravitz'}]",,0,0,0,0,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,Stephan14709184,1097412109397307392,https://pbs.twimg.com/profile_images/1097412510754529280/l-Y-JKsH_normal.jpg,Stephanie Haynes,2019-02-18T08:26:50.000Z,0,29,51,0,,,,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,,,,
305700310,2022-01-21T06:30:03.000Z,"@MReadwrite @realamberheard @ZoeKravitz the deleted tweet now years ago ...
is probably somewhat indicated in my reply...
i will see if i can pull it up but my puter and other phones are dead so only have my overwhelmed excellent memory... may take sone time 
Jason Zoe Interviews YSL ¿",Twitter Web App,"[{'type': 'replied_to', 'id': '1184502052447293440'}]",en,2193123620,1484412961443749894,"[{'start': 0, 'end': 11, 'username': 'MReadwrite', 'id': '2193123620'}, {'start': 12, 'end': 27, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 28, 'end': 39, 'username': 'ZoeKravitz', 'id': '473605749'}]","[{'start': 260, 'end': 268, 'probability': 0.9606, 'type': 'Person', 'normalized_text': 'Jason Zoe'}]",,0,0,0,0,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,aviaum,305700310,https://pbs.twimg.com/profile_images/1355333220309499910/8uDnC1ei_normal.jpg,good will,2011-05-26T17:13:22.000Z,806,2058,136779,44,earth,all and nothing less,,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,,,,
214957239,2022-01-19T16:24:58.000Z,@realamberheard @ZoeKravitz @ZoeKravitz  we support you Zoe !!,Twitter for iPhone,"[{'type': 'replied_to', 'id': '1060795070000128000'}]",nl,807003567605227520,1483837902165532673,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 27, 'username': 'ZoeKravitz', 'id': '473605749'}, {'start': 28, 'end': 39, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,0,0,0,0,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,FerBuquife,214957239,https://pbs.twimg.com/profile_images/1352192776457351169/ZXsuFDQa_normal.jpg,Fer Buquife,2010-11-12T17:04:32.000Z,147,302,324,1,,,,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,,,,
1247933352335859712,2022-01-18T21:50:12.000Z,@realamberheard @ZoeKravitz @OrtegaZahira,Twitter for iPhone,"[{'type': 'replied_to', 'id': '1060795070000128000'}]",und,807003567605227520,1483557358794067968,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 27, 'username': 'ZoeKravitz', 'id': '473605749'}, {'start': 28, 'end': 41, 'username': 'OrtegaZahira', 'id': '2177610586'}]",,,0,0,0,0,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,Shyira_,1247933352335859712,https://pbs.twimg.com/profile_images/1471594911342465030/rLdn8Xfr_normal.jpg,Shira,2020-04-08T17:04:42.000Z,24,130,203,0,Levittown ,Soy un saquito de nervios ☄️,,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,,,,
1154540044851535872,2022-01-18T05:21:35.000Z,"@realamberheard @ZoeKravitz Amber, Reading your tweet reminds me that you were an abuser as well, and it seems also a bully.",Twitter Web App,"[{'type': 'replied_to', 'id': '1060795070000128000'}]",en,807003567605227520,1483308565477658626,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 27, 'username': 'ZoeKravitz', 'id': '473605749'}]","[{'start': 28, 'end': 32, 'probability': 0.9298, 'type': 'Person', 'normalized_text': 'Amber'}]",,0,1,1,0,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,FireBabyTrump,1154540044851535872,https://pbs.twimg.com/profile_images/1158746639525384198/LnNXm-UK_normal.jpg,Trump Lost. Biden is My President.,2019-07-25T23:52:51.000Z,25,158,5394,0,"Florida, Missouri, Maryland","Patriot, Air Force Veteran, Bible Belt Christian, Former GOP voter.  #WalkedAway from the @GOP and into the light of the left.  #WWJD What Would Jesus Do?",,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,,,,
773461248851804161,2022-01-17T14:00:13.000Z,"@realamberheard @ZoeKravitz Hero is not a word that can be used to describe you.  You used Mr. Depp to advance your career then you tried to destroy him.  You have a hateful soul but one thing is for sure, you have cemented you spot in HELL.",Twitter Web App,"[{'type': 'replied_to', 'id': '1060795070000128000'}]",en,807003567605227520,1483076695196413952,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 27, 'username': 'ZoeKravitz', 'id': '473605749'}]","[{'start': 91, 'end': 98, 'probability': 0.9887, 'type': 'Person', 'normalized_text': 'Mr. Depp'}]",,0,0,3,0,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,ZaragozaGarc,773461248851804161,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Yvonne Zaragoza-Garc,2016-09-07T10:01:46.000Z,0,6,26,0,,,,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,,,,
773461248851804161,2022-01-17T13:53:19.000Z,@realamberheard @ZoeKravitz You broke up a couple then tried to destroy Mr. Depp.  KARMA has everyone's address.,Twitter Web App,"[{'type': 'replied_to', 'id': '1060795070000128000'}]",en,807003567605227520,1483074959958282245,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 27, 'username': 'ZoeKravitz', 'id': '473605749'}]","[{'start': 72, 'end': 79, 'probability': 0.9793, 'type': 'Person', 'normalized_text': 'Mr. Depp'}]",,0,0,5,0,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,ZaragozaGarc,773461248851804161,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Yvonne Zaragoza-Garc,2016-09-07T10:01:46.000Z,0,6,26,0,,,,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,,,,
31392696,2022-01-17T07:47:30.000Z,"@realamberheard @ZoeKravitz Johnny Depp is a hero for not knocking your teeth down your, lying, manipulative, throat. The restraint he showed in not ending you, makes Johnny Depp a G DAMN legend. Why don't you crawl back in the viper pit you crawled out of. You are a disgrace to women.",Twitter Web App,"[{'type': 'replied_to', 'id': '1060795070000128000'}]",en,807003567605227520,1482982901205585921,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 27, 'username': 'ZoeKravitz', 'id': '473605749'}]","[{'start': 28, 'end': 38, 'probability': 0.9947, 'type': 'Person', 'normalized_text': 'Johnny Depp'}, {'start': 167, 'end': 177, 'probability': 0.9939, 'type': 'Person', 'normalized_text': 'Johnny Depp'}]",,0,1,1,0,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,Timswoman,31392696,https://pbs.twimg.com/profile_images/1340475481032933376/e0gzNFb6_normal.jpg,Barbara Vogelman,2009-04-15T12:13:15.000Z,20,114,516,0,"Texas, USA",Happy and BLESSED!!!,,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,,,,
842719358082154496,2022-01-16T20:43:17.000Z,@realamberheard @ZoeKravitz How many lives are you going to ruin.. You certainly don't know what a hero is...🤬,Twitter Web App,"[{'type': 'replied_to', 'id': '1060795070000128000'}]",en,807003567605227520,1482815744870125577,"[{'start': 0, 'end': 15, 'username': 'realamberheard', 'id': '807003567605227520'}, {'start': 16, 'end': 27, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,0,0,0,0,807003567605227520,2018-11-09T07:23:47.000Z,51,100,319,99,,Reading @ZoeKravitz interview reminds me just how desperately we need to know actual “heroes”,Twitter for iPhone,en,1060795070000128000,realamberheard,807003567605227520,https://pbs.twimg.com/profile_images/1383196364792680448/N8CdupEu_normal.jpg,Amber Heard,2016-12-08T23:26:58.000Z,190462,220,1151,567,"Los Angeles, CA","Actor and Activist, semi-professional disruptor, ice cream advocate and shameless teacup yorkie-lover",https://t.co/Ze18Ek9SOI,lysaheart2,842719358082154496,https://pbs.twimg.com/profile_images/1506611801198407683/Y2_QQXvD_normal.jpg,lysa heart,2017-03-17T12:48:46.000Z,12,40,85,0,Southwest comfort cottage,"Just an honest gal that tells it like it is.
A creative artist, with a deep soul.",,"[{'start': 8, 'end': 19, 'username': 'ZoeKravitz', 'id': '473605749'}]",,,,,,
